120102 Tom          Zhou               M  Sales Manager        $108,255 AU 08/11/1973 06/01/1993                                                                
120103 Wilson       Dawes              M  Sales Manager         $87,975 AU 01/22/1953 01/01/1978                                                                
120121 Irenie       Elvish             F  Sales Rep. II         $26,600 AU 08/02/1948 01/01/1978                                                                
120122 Christina    Ngan               F  Sales Rep. II         $27,475 AU 07/27/1958 07/01/1982                                                                
120123 Kimiko       Hotstone           F  Sales Rep. I          $26,190 AU 09/28/1968 10/01/2011                                                                
120124 Lucian       Daymond            M  Sales Rep. I          $26,480 AU 05/13/1963 03/01/2011                                                                
120125 Fong         Hofmeister         M  Sales Rep. IV         $32,040 AU 12/06/1958 03/01/1983                                                                
120126 Satyakam     Denny              M  Sales Rep. II         $26,780 AU 09/20/1992 08/01/2010                                                                
120127 Sharryn      Clarkson           F  Sales Rep. II         $28,100 AU 01/04/1983 11/01/2002                                                                
120128 Monica       Kletschkus         F  Sales Rep. IV         $30,890 AU 07/14/1990 11/01/2010                                                                
120129 Alvin        Roebuck            M  Sales Rep. III        $30,070 AU 11/22/1968 10/01/1989                                                                
120130 Kevin        Lyon               M  Sales Rep. I          $26,955 AU 12/14/1988 05/01/2011                                                                
120131 Marinus      Surawski           M  Sales Rep. I          $26,910 AU 09/25/1983 01/01/2011                                                                
120132 Fancine      Kaiser             F  Sales Rep. III        $28,525 AU 04/05/1953 10/01/1982                                                                
120133 Petrea       Soltau             F  Sales Rep. II         $27,440 AU 04/22/1990 10/01/2010                                                                
120134 Sian         Shannan            M  Sales Rep. II         $28,015 AU 06/06/1953 01/01/1978                                                                
120135 Alexei       Platts             M  Sales Rep. IV         $32,490 AU 01/26/1973 10/01/2001                                                                
120136 Atul         Leyden             M  Sales Rep. I          $26,605 AU 09/16/1983 02/01/2011                                                                
120137 Marina       Iyengar            F  Sales Rep. III        $29,715 AU 03/12/1983 03/01/2010                                                                
120138 Shani        Duckett            F  Sales Rep. I          $25,795 AU 07/11/1983 07/01/2011                                                                
120139 Fang         Wilson             F  Sales Rep. II         $26,810 AU 08/18/1990 09/01/2010                                                                
120140 Michael      Minas              M  Sales Rep. I          $26,970 AU 08/03/1992 10/01/2011                                                                
120141 Amanda       Liebman            F  Sales Rep. II         $27,465 AU 03/12/1992 05/01/2010                                                                
120142 Vincent      Eastley            M  Sales Rep. III        $29,695 AU 06/14/1990 07/01/2010                                                                
120143 Phu          Sloey              M  Sales Rep. II         $26,790 AU 05/17/1963 10/01/1986                                                                
120144 Viney        Barbis             M  Sales Rep. III        $30,265 AU 03/07/1990 10/01/2010                                                                
120145 Sandy        Aisbitt            M  Sales Rep. II         $26,060 AU 01/22/1968 06/01/1989                                                                
120146 Wendall      Cederlund          M  Sales Rep. I          $25,985 AU 10/02/1963 08/01/2011                                                                
120147 Skev         Rusli              F  Sales Rep. II         $26,580 AU 01/19/1992 10/01/2010                                                                
120148 Michael      Zubak              M  Sales Rep. III        $28,480 AU 09/13/1953 06/01/1982                                                                
120149 Judy         Chantharasy        F  Sales Rep. I          $26,390 AU 11/21/1978 01/01/2011                                                                
120150 John         Filo               M  Sales Rep. III        $29,965 AU 07/09/1958 08/01/1986                                                                
120151 Julianna     Phaiyakounh        F  Sales Rep. II         $26,520 AU 11/21/1948 01/01/1978                                                                
120152 Sean         Dives              M  Sales Rep. I          $26,515 AU 05/01/1983 04/01/2011                                                                
120153 Samantha     Waal               F  Sales Rep. I          $27,260 AU 05/07/1983 01/01/2011                                                                
120154 Caterina     Hayawardhana       F  Sales Rep. III        $30,490 AU 07/20/1948 01/01/1978                                                                
120155 Narelle      James              F  Sales Rep. III        $29,990 AU 04/22/1988 04/01/2010                                                                
120156 Gerry        Snellings          F  Sales Rep. I          $26,445 AU 09/01/1992 03/01/2011                                                                
120157 Leonid       Karavdic           M  Sales Rep. II         $27,860 AU 02/21/1990 12/01/2010                                                                
120158 Daniel       Pilgrim            M  Sales Rep. III        $36,605 AU 07/14/1968 07/01/1991                                                                
120159 Lynelle      Phoumirath         F  Sales Rep. IV         $30,765 AU 02/24/1968 07/01/1990                                                                
120160 Chuck        Segrave            M  Sales Rep. I          $27,115 AU 09/09/1958 10/01/2011                                                                
120161 Rosette      Martines           F  Sales Rep. III        $30,785 AU 03/07/1992 10/01/2010                                                                
120162 Randal       Scordia            M  Sales Rep. I          $27,215 AU 09/05/1992 02/01/2011                                                                
120163 Brett        Magrath            M  Sales Rep. II         $26,735 AU 05/22/1968 01/01/1995                                                                
120164 Ranj         Stamalis           F  Sales Rep. II         $27,450 AU 11/26/1963 02/01/1986                                                                
120165 Tadashi      Pretorius          M  Sales Rep. I          $27,050 AU 03/19/1988 03/01/2011                                                                
120166 Fadi         Nowd               M  Sales Rep. IV         $30,660 AU 06/14/1948 01/01/1978                                                                
120167 Kimiko       Tilley             F  Sales Rep. I          $25,185 AU 05/04/1958 02/01/2011                                                                
120168 Selina       Barcoe             F  Sales Rep. I          $25,275 AU 03/24/1988 11/01/2011                                                                
120169 Cos          Tannous            M  Sales Rep. III        $28,135 AU 01/02/1988 05/01/2010                                                                
120170 Alban        Kingston           M  Sales Rep. III        $28,830 AU 02/25/1978 10/01/1996                                                                
120171 Alena        Moody              F  Sales Rep. II         $26,205 AU 07/19/1988 09/01/2010                                                                
120172 Edwin        Comber             M  Sales Rep. III        $28,345 AU 04/01/1948 01/01/1978                                                                
120173 Hernani      Osborn             M  Sales Rep. I          $26,715 AU 02/23/1958 06/01/2011                                                                
120174 Doungkamol   Simms              F  Sales Rep. I          $26,850 AU 01/10/1948 01/01/2011                                                                
120175 Andrew       Conolly            M  Sales Rep. I          $25,745 AU 08/18/1992 10/01/2011                                                                
120176 Koavea       Pa                 M  Sales Rep. I          $26,095 AU 11/09/1990 11/01/2011                                                                
120177 Franca       Kierce             F  Sales Rep. III        $28,745 AU 04/05/1983 02/01/2002                                                                
